사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-07,1호선,1,서울역,820362,793039,149471,141043
2021-07,1호선,10,동묘앞,104572,110495,120348,120706
2021-07,1호선,2,시청,419634,420739,56095,54381
2021-07,1호선,3,종각,662251,646931,102831,96420
2021-07,1호선,4,종로3가,373284,345072,232400,219520
2021-07,1호선,5,종로5가,316050,320239,217992,208993
2021-07,1호선,6,동대문,189513,175785,101390,99588
2021-07,1호선,7,신설동,243297,240014,94790,91569
2021-07,1호선,8,제기동,207970,201205,208038,223315
2021-07,1호선,9,청량리(서울시립대입구),285983,285275,216172,220201
2021-07,2호선,11,시청,458506,446374,40251,36060
2021-07,2호선,12,을지로입구,785531,802966,73765,69357
2021-07,2호선,13,을지로3가,426231,423657,60572,58450
2021-07,2호선,14,을지로4가,225231,220051,71437,68275
2021-07,2호선,15,동대문역사문화공원(DDP),237287,265864,44524,46686
2021-07,2호선,16,신당,257484,268942,79653,81647
2021-07,2호선,17,상왕십리,284255,274730,57297,57431
2021-07,2호선,18,왕십리(성동구청),334713,276856,41741,35624
2021-07,2호선,19,한양대,144112,147728,9698,9838
2021-07,2호선,20,뚝섬,455377,493431,46887,47551
2021-07,2호선,21,성수,743061,818748,85846,87379
2021-07,2호선,22,건대입구,753424,809274,70014,73601
2021-07,2호선,23,구의(광진구청),486998,479085,82661,84782
2021-07,2호선,24,강변(동서울터미널),648924,643434,87924,86672
2021-07,2호선,25,잠실나루,267434,259352,63377,63603
2021-07,2호선,26,잠실(송파구청),1431719,1425136,141330,136240
2021-07,2호선,27,잠실새내,423815,425716,79826,79578
2021-07,2호선,28,종합운동장,139594,150737,31414,32704
2021-07,2호선,29,삼성(무역센터),1013067,1026746,82194,74590
2021-07,2호선,30,선릉,1085446,964152,175260,155219
2021-07,2호선,31,역삼,996173,1107719,121502,122269
2021-07,2호선,32,강남,1848689,1816406,143362,127276
2021-07,2호선,33,교대(법원.검찰청),660098,742784,114281,126843
2021-07,2호선,34,서초,434857,417277,56700,55967
2021-07,2호선,35,방배,318193,338876,55756,55101
2021-07,2호선,36,사당,711828,786780,132542,126921
2021-07,2호선,37,낙성대(강감찬),592165,567942,83227,85789
2021-07,2호선,38,서울대입구(관악구청),1017244,1002386,151503,144390
2021-07,2호선,39,봉천,474188,433546,117201,117342
2021-07,2호선,40,신림,1384642,1336351,180683,184534
2021-07,2호선,41,신대방,555507,535732,101463,102538
2021-07,2호선,42,구로디지털단지,1283321,1288579,136073,138422
2021-07,2호선,43,대림(구로구청),504736,518749,93270,96738
2021-07,2호선,44,신도림,1022195,1002099,154367,145113
2021-07,2호선,45,문래,432562,447120,61534,60990
2021-07,2호선,46,영등포구청,456672,463629,82316,80633
2021-07,2호선,47,당산,389939,450946,44720,49584
2021-07,2호선,48,합정,679906,706595,52813,52104
2021-07,2호선,49,홍대입구,1113203,1145058,76292,72009
2021-07,2호선,50,신촌,693524,714756,98217,94625
2021-07,2호선,51,이대,262292,274559,36731,38098
2021-07,2호선,52,아현,197699,188585,52778,52277
2021-07,2호선,53,충정로(경기대입구),192183,201946,39403,39499
2021-07,2호선,54,용답,52052,50832,14710,14349
2021-07,2호선,55,신답,30772,36272,7613,8182
2021-07,2호선,56,신설동,57158,55487,25636,27303
2021-07,2호선,57,도림천,27345,27612,6336,6657
2021-07,2호선,58,양천구청,123630,133375,35935,36643
2021-07,2호선,59,신정네거리,193352,201551,56414,57910
2021-07,2호선,60,용두(동대문구청),39514,40215,19187,20205
2021-07,3호선,61,지축,84963,82423,17204,16780
2021-07,3호선,62,구파발,414088,398449,92745,89358
2021-07,3호선,63,연신내,713670,667484,212026,206104
2021-07,3호선,64,불광,295095,315422,111153,121716
2021-07,3호선,65,녹번,308375,276587,60128,59673
2021-07,3호선,66,홍제,309903,290636,108884,107144
2021-07,3호선,67,무악재,71770,70593,22395,24644
2021-07,3호선,68,독립문,115395,118126,53664,51871
2021-07,3호선,69,경복궁(정부서울청사),388184,384793,56906,52917
2021-07,3호선,70,안국,374114,387779,57805,58275
2021-07,3호선,71,종로3가,180689,213271,46524,50588
2021-07,3호선,72,을지로3가,193993,201594,42946,40897
2021-07,3호선,73,충무로,20,0,3,0
2021-07,3호선,74,동대입구,151092,155990,24838,26027
2021-07,3호선,75,약수,246997,242083,66259,62636
2021-07,3호선,76,금호,153462,143111,43159,42622
2021-07,3호선,77,옥수,171928,181939,46365,47055
2021-07,3호선,78,압구정,671555,714245,100407,97285
2021-07,3호선,79,신사,655528,690147,57926,55211
2021-07,3호선,80,잠원,90380,88766,23061,22359
2021-07,3호선,81,고속터미널,867661,865482,130837,125731
2021-07,3호선,82,교대(법원.검찰청),270028,175431,48854,29779
2021-07,3호선,83,남부터미널(예술의전당),592012,616390,91218,92178
2021-07,3호선,84,양재(서초구청),774969,846279,112450,112490
2021-07,3호선,85,매봉,246675,238831,47348,43207
2021-07,3호선,86,도곡,106636,110063,19511,17831
2021-07,3호선,87,대치,229070,224833,46841,45037
2021-07,3호선,88,학여울,33726,35064,10899,10410
2021-07,3호선,89,대청,191846,174514,45951,44543
2021-07,3호선,90,일원,180959,178512,47789,47249
2021-07,3호선,91,수서,325032,338220,80572,79830
2021-07,3호선,92,가락시장,153743,149487,59706,58651
