사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-07,1호선,1,서울역,654,6,8652,6342,11542,33836,34033,80382,52613,163620,38605,102598,35481,51052,41070,42933,48222,46545,49227,45640,44779,41737,55778,44392,65517,45218,107562,55211,163496,64791,73905,40168,47149,25097,50724,22084,32275,16055,8520,5824,29,551,0,0,0,0,0,0
2021-07,1호선,10,동묘앞,92,0,3197,1077,3575,4910,5452,8608,8526,21141,7927,15956,9454,17084,13490,20768,17843,21002,21519,22088,22076,20878,23178,18825,23518,15108,21926,12554,19733,9844,9437,6226,5504,4051,4732,3632,2911,4455,827,1955,3,1039,0,0,0,0,0,0
2021-07,1호선,2,시청,13,0,1803,4616,2797,19665,6210,57888,7368,152937,7995,66434,8964,25943,12915,22965,13811,20773,16626,19677,21240,16066,27115,14014,32142,11942,62498,12167,128494,12588,43231,6198,31976,3934,29470,3605,18039,2636,3016,988,6,84,0,0,0,0,0,0
2021-07,1호선,3,종각,69,0,2246,4062,2941,22625,5346,86386,7986,196740,10307,112605,14487,47829,21935,40248,26285,34028,31949,36446,37986,30986,46104,24863,52224,23690,104818,25848,175390,28561,68712,14364,53659,6064,59416,4000,38440,2811,4775,1092,7,103,0,0,0,0,0,0
2021-07,1호선,4,종로3가,171,29,3059,3686,2974,13638,4445,25723,7594,67165,11416,71195,18593,56432,31183,51655,36417,47329,40487,48693,40692,39346,47224,33235,53356,28984,64884,25006,89105,25452,49389,12528,34524,5428,37990,3841,28438,3355,3725,1530,18,342,0,0,0,0,0,0
2021-07,1호선,5,종로5가,25,0,1600,3737,2459,16133,4807,38294,7293,97378,11801,60714,19095,46454,26873,43149,30801,38108,34528,35449,40231,34763,45046,29548,50149,24470,66537,20831,90510,17243,41528,10264,23971,4808,21887,3571,13097,2710,1794,1291,10,317,0,0,0,0,0,0
2021-07,1호선,6,동대문,665,13,13154,2112,8755,6552,13558,11917,17863,23651,16508,21375,15386,18520,16582,19225,18619,18320,19416,16779,19194,17200,20500,16363,21281,15222,21579,15609,21222,16858,14315,17281,10938,11918,10977,9068,8289,8761,2095,7234,7,1394,0,0,0,1,0,0
2021-07,1호선,7,신설동,295,14,7940,3120,7834,10994,15927,23882,22747,59304,15492,31228,14059,19704,15374,15903,15936,15362,17842,15703,16767,14135,18680,15222,24796,15990,38122,18668,54750,23752,19516,16274,12523,9911,10906,9102,7062,8774,1497,4104,21,437,1,0,0,0,0,0
2021-07,1호선,8,제기동,391,4,5087,2344,8503,9549,20256,19869,29625,40468,22319,35926,26202,37334,30999,35023,33138,30976,32087,29712,31476,30756,32234,29904,32287,25186,35754,22731,35339,24909,15588,17333,9232,10394,7823,9100,6018,8940,1639,3770,11,292,0,0,0,0,0,0
2021-07,1호선,9,청량리(서울시립대입구),905,19,10502,5211,14093,20896,33371,16224,41384,34044,28334,31662,28104,33695,30729,34343,33092,32927,33152,33196,33028,34324,35321,35726,43566,34010,42912,35887,38632,44112,20451,29361,15020,16071,11228,14140,6743,13598,1572,5488,16,542,0,0,0,0,0,0
2021-07,2호선,11,시청,13,0,888,1712,1827,14590,4359,60474,6263,178547,8458,69581,10806,21298,16044,17763,15663,18400,18915,17746,23133,15919,26996,14463,29953,11411,70653,12550,148670,12183,45702,5967,28362,3243,25305,2916,14730,2578,2016,1045,1,48,0,0,0,0,0,0
2021-07,2호선,12,을지로입구,52,1,1699,1865,2867,27158,7643,107800,12245,264615,13180,119753,14444,52658,21724,43089,26613,36535,33964,35024,39139,30273,46800,26829,58823,25446,125051,27224,219976,30288,84848,16506,72845,8932,44340,7757,29076,7287,3967,2276,0,1007,0,0,0,0,0,0
2021-07,2호선,13,을지로3가,4,0,834,1758,1953,17553,4872,61528,8023,140217,9052,58030,10209,26273,13609,21291,15664,19806,17688,21141,21502,18565,25582,16674,31302,16271,70487,17947,120675,20181,45984,10341,28716,5260,31586,3942,25660,3967,3397,1237,4,124,0,1,0,0,0,0
2021-07,2호선,14,을지로4가,6,0,972,1261,1499,12518,2967,30865,5739,73284,6442,38066,8280,20072,11275,17686,12592,14681,14110,14263,16525,13258,19616,11765,23983,10150,45099,9024,66155,8699,28431,4505,13527,2604,10576,2278,7442,2409,1429,867,3,71,0,0,0,0,0,0
2021-07,2호선,15,동대문역사문화공원(DDP),292,3,6202,1149,4016,7235,6033,18876,8563,43793,8660,27141,9218,21497,11593,21107,14056,18875,14223,18785,16388,18805,21628,16318,26003,14612,32039,15086,35381,17248,21048,18953,15736,11879,16825,8712,11029,7884,2876,4289,2,303,0,0,0,0,0,0
2021-07,2호선,16,신당,43,3,6043,1074,11205,8600,23780,16899,37435,33195,22853,21940,16390,17635,15754,16566,17204,16150,17430,17062,17272,17708,18043,19076,20725,21591,25640,27762,30993,40006,19292,26042,13569,15574,11881,14082,9591,13899,1992,5662,2,63,0,0,0,0,0,0
2021-07,2호선,17,상왕십리,102,2,5149,488,12924,5988,34140,11479,52275,33370,29182,18434,18020,12698,15837,11695,17173,13522,16083,14101,15186,14036,16475,15307,17222,18113,21885,28580,26246,45992,15619,30631,10538,17730,9335,16472,6805,16838,1355,6684,0,1,1,0,0,0,0,0
2021-07,2호선,18,왕십리(성동구청),769,2,6520,857,8988,5244,22713,10990,39821,24719,24983,16517,16712,13232,16913,12701,17902,14961,18711,16054,18481,15878,19304,17162,22867,19395,29139,26666,32554,43422,18555,26339,17197,14655,20892,12843,19857,14976,3570,5835,6,32,0,0,0,0,0,0
2021-07,2호선,19,한양대,4,0,848,246,2114,5249,4487,9687,7545,24073,5433,31853,4622,12809,5506,7497,10344,8257,7103,8677,6731,6950,7852,5553,14276,5424,24888,5943,21193,7804,9972,5022,6922,3729,6353,3529,5659,3700,1958,1563,0,0,0,1,0,0,0,0
2021-07,2호선,20,뚝섬,33,6,3582,2036,7612,13917,16613,34950,23027,128674,15500,76797,12068,31238,12019,22433,14814,23027,17808,24229,20211,21186,23741,21095,30955,22759,54646,26762,114933,36109,52174,21214,30651,11288,29089,9524,20060,9801,2725,3921,3,16,0,0,0,0,0,0
2021-07,2호선,21,성수,61,1,5395,3649,8794,27716,20378,73396,27253,252961,20958,131556,18457,45260,19395,34328,22179,35715,27081,37780,30635,34661,36605,34528,46976,34887,98975,38635,218357,47993,90164,28333,50284,14625,49546,11369,33286,10914,4125,6326,3,1494,0,0,0,0,0,0
2021-07,2호선,22,건대입구,167,13,13492,2190,19278,19436,48460,24644,80876,55232,53734,45789,30746,34879,29114,36126,32955,42559,34357,48278,34795,47170,39455,51050,48040,58625,60932,79571,73287,120841,51235,77051,47452,43286,63196,39410,54269,38817,7591,16187,7,1721,0,0,0,0,0,0
2021-07,2호선,23,구의(광진구청),78,0,13414,1148,24357,9371,61180,14598,101427,38777,57865,22043,29739,18165,24689,17857,25645,20701,24517,22181,22833,23487,22446,29505,25789,33986,30491,48259,39202,85567,19657,60112,14560,37127,14713,33993,13149,34416,3906,11729,2,845,0,0,0,0,0,0
2021-07,2호선,24,강변(동서울터미널),15,0,8036,1905,25710,19007,72218,22501,95427,43748,63729,35476,42923,32093,39287,29374,39015,32424,37150,35710,34877,36541,36853,42116,38926,47431,43214,64541,51796,100880,36890,66918,27065,40858,24146,33100,15561,35369,4010,9915,0,199,0,0,0,0,0,0
2021-07,2호선,25,잠실나루,5,0,2940,1668,10557,10035,33832,21804,38834,34886,24101,21863,18952,15384,17642,13638,18480,16585,16268,16136,17636,14965,19120,13871,22706,14223,28677,20531,26645,35719,12315,25445,9094,13957,6656,13331,5000,14148,1351,4726,0,40,0,0,0,0,0,0
2021-07,2호선,26,잠실(송파구청),113,32,10602,4190,42574,37972,101659,64875,138808,136700,96642,109784,61892,73830,60829,74110,67351,74736,71905,80046,72297,78547,81185,82224,98882,94838,134742,124924,166821,186474,104028,120817,104926,69962,88169,62979,59796,63814,9827,20469,1,53,0,0,0,0,0,0
